A,AAP,AAPL
42.16,54.97,390.48
40.79,54.2,396.75
38.94,53.24,388.91
39.2,54.35,392.57
36.91,52.74,377.37
36.59,52.94,373.62
32.56,50.04,353.21
34.21,51.86,374.01
31.85,50.1,363.69
34.51,54.29,373.7
36.21,55.17,376.99
37.5,56.36,383.41
36.63,55.64,380.48
35.8,56.74,380.44
32.23,56.55,366.05
31.08,57.95,356.03
30.5,57.33,356.44
31.86,58.34,373.6
33.08,59.14,376.18
33.03,57.98,373.72
34.87,59.2,383.58
36.72,60.19,389.97
36.62,60.39,389.99
36.87,60.72,384.83
35.84,60.33,381.03
34.4,59.44,374.05
33.92,59.81,379.74
35.69,60.95,383.93
34.14,60.86,384.14
33.36,60.44,377.48
33.41,60.41,379.94
34.78,60.65,384.62
36.58,61.48,389.3
37.04,62.67,392.96
36.36,62.59,400.5
34.96,62.76,411.63
35.05,61.69,413.45
32.25,59.79,412.14
31.29,58.67,401.82
31.68,59.97,404.3
32.39,60.83,403.17
33.56,60.29,399.26
31.64,59.66,397.01
32.52,59,390.57
31.25,58.1,381.32
29.4,56.3,374.6
31.01,58.56,372.5
32.12,58.62,378.25
33.54,59.39,377.37
31.37,59.04,369.8
33.31,60.94,388.81
33.93,60.95,400.29
33.78,60.04,402.19
32.47,59.8,408.43
33.34,60.74,422
33.07,59.58,419.99
33.48,61.58,422.24
32.99,61.8,398.62
33.73,62.38,395.31
35.27,62.92,392.87
37.54,63.55,405.77
35.93,63.54,397.77
35.79,63.34,400.6
40,65.99,404.69
40.89,65.67,404.95
37.07,65.07,404.78
35.29,64.82,396.51
36.16,64.9,397.41
37.13,66.07,403.07
36.91,66.02,400.24
37.74,66.45,399.73
38.75,67.69,406.23
36.07,66.37,395.28
36.86,69.51,385.22
37.46,70.28,384.62
37.55,68.98,379.26
38.25,68.45,388.83
38.58,67.01,384.77
37.21,67.56,377.41
36.81,67.95,374.94
35.79,67.54,369.01
35.58,66.95,376.51
33.6,66.85,366.99
33.83,67.14,363.57
35.16,67.3,376.12
35.02,67.52,373.2
37.5,69.22,382.2
37.82,68.75,387.93
36.76,69.06,389.7
37.06,69.92,393.01
36.98,70.09,390.95
36.66,70,389.09
34.42,69.9,390.66
35.33,70.28,393.62
33.73,69.16,391.84
33.15,67.9,388.81
32.93,66.9,380.19
33.45,67.71,378.94
33.46,68,381.02
33.23,66.99,382.21
34.58,68.99,395.95
34.36,68.5,396.445
34.84,69.38,398.55
35.36,70.25,403.33
35.25,70.92,406.53
34.11,70.26,402.64
35.06,70.35,405.12
34.93,69.63,405
36.48,69.1,411.23
36.19,70.72,413.44
37,71.17,418.03
