A,AAP,AAPL
66.83,156.12,160.89
65.19,152.5,156.83
63.29,151.41,150.73
62.67,148.92,146.83
65.54,155.03,157.17
66.48,154.69,156.15
65.96,155.46,156.23
67.46,157.46,157.74
65.69,157.92,157.92
63.27,162.85,142.19
65.46,158.81,148.26
66.85,161.14,147.93
67.83,160.02,150.75
69.25,164.43,153.31
69.9,165.07,153.8
70.38,159.42,152.29
69.75,158.72,150
70.6,160.28,153.07
70.03,162.44,154.94
70.82,166.28,155.86
71.93,167.61,156.82
71.32,164.13,153.3
71.65,164.33,153.92
72.18,156.31,152.7
73.65,153.22,157.76
73.27,154.86,156.3
73.56,155.39,154.68
75.44,159.04,165.25
76.05,159.2,166.44
76.04,159.04,166.52
76.03,161.35,171.25
76.31,161.46,174.18
76.3,157.22,174.24
75.33,163.13,170.94
75.8,162.41,170.41
76.08,165.13,169.43
77.07,167.89,170.89
77.25,166.46,170.18
77.02,168.74,170.8
78.3,169.99,170.42
77.52,167.14,170.93
78.56,166,172.03
77.89,161.31,171.06
78.42,161.47,172.97
79.34,157.71,174.23
78.55,162.92,174.33
79.42,158.3,174.87
79.44,161.78,173.15
81.24,160.62,174.97
80.13,158.4,175.85
79.74,157.31,175.53
78.75,157.97,174.52
78.73,154.13,172.5
77.98,151.77,172.91
79.3,155.46,178.9
79.93,154.87,180.91
80.13,154.7,181.71
80.61,154,183.73
81.1,154.84,186.12
80.97,161.57,188.02
81.2,163.42,186.53
80.92,164.15,188.16
82,169.07,195.09
78.99,164.84,191.05
79.52,167.78,188.74
80.65,168.27,186.79
79,166.89,188.47
79.7,168.75,188.72
80.38,170.53,189.95
81.56,173.63,191.24
81.14,173.34,194.02
81.94,171.69,195.35
80.83,174,195.69
81.47,176.78,197
81.69,177.59,200.1
81.42,175.65,199.5
81.68,178.8,200.62
81.08,180.96,198.95
80.98,180.11,198.87
80.4,181.43,199.23
77.55,179.95,199.25
75.43,176.81,203.13
76.17,175.4,203.86
75.57,170.08,204.53
75.56,172.47,207.48
75.79,171.86,207.16
76.72,170.64,205.28
77.42,170.19,204.3
77.33,166.77,204.61
78.5,166.32,200.67
77.47,163.83,210.52
78.2,166.78,209.15
79.29,163.27,211.75
79.35,161.99,208.48
76.67,160.66,202.86
76.61,158.62,202.9
77,159.89,200.72
77.1,158.12,197.18
73.84,155.37,185.72
76.01,155.75,188.66
67.64,155.83,190.92
69.3,157.28,190.08
69.11,157.97,189
68.93,158.64,183.09
68.32,161.3,186.6
67.97,166.29,182.78
67.7,159.8,179.66
68.36,158.09,178.97
67.08,154.56,178.23
67.3,155.78,177.38
66.89,159.39,178.3
67.05,155,175.07
66.99,153.17,173.3
67.95,154.61,179.64
68.35,154.61,182.54
69.16,154.9,185.22
69.52,155.35,190.15
70.29,153.52,192.58
70.09,152.17,194.81
70.29,150.54,194.19
70.3,150.61,194.15
69.97,151.8,192.74
70.29,151.74,193.89
71.91,154.83,198.45
72.65,153.77,197.87
73.32,153.27,199.46
73.34,153.24,198.78
73.14,152.33,198.58
72.51,154.5,195.57
72.14,149.93,199.8
73.19,151.71,199.74
74.67,154.14,197.92
75.78,156.59,201.55
75.61,159.79,202.73
76.8,160.63,204.41
75.75,160.62,204.23
73.84,158.19,200.02
73.45,155.5,201.24
73.37,156.43,203.23
71.74,156.29,201.75
71.65,158.58,203.3
70.55,158.92,205.21
69.95,161.76,204.5
69.59,157.67,203.35
70.13,157.9,205.66
68.7,156.93,202.59
69.09,158.9,207.22
69.89,157.64,208.84
69.58,158.5,208.67
69.85,150.03,207.02
69.5,152.62,207.74
70.37,153.04,209.68
70.15,151.8,208.78
69.41,150.64,213.04
69.21,149.95,208.43
68.08,145.78,204.02
65.86,143.16,193.34
67.66,145.64,197
67.97,144.04,199.04
69.49,144.43,203.43
68.64,144.33,200.99
66.63,142.16,200.48
67.64,142.23,208.97
65.59,136.49,202.75
69.59,137.5,201.74
71.08,136.59,206.5
71.75,136.35,210.35
71.12,135.38,210.36
72.2,136.23,212.64
71.74,137.5,212.46
69.55,135.05,202.64
69.64,135,206.49
69.48,134.89,204.16
69.94,136.76,205.53
70.7,138.07,209.01
71.11,137.95,208.74
70.41,140.36,205.7
70.86,141.89,209.19
73.52,146.55,213.28
74.28,147.21,213.26
74.18,147.43,214.17
74.77,154.7,216.7
76.99,158.86,223.59
77.57,155.2,223.085
77.9,157,218.75
77.15,156.07,219.9
76.4,156.07,220.7
77.57,153.79,222.77
78.07,152.8,220.96
77.97,155.69,217.73
78.06,161.22,218.72
75.97,159.22,217.68
76.33,162.28,221.03
76.52,160.38,219.89
76.39,161.68,218.82
76.63,165.4,223.97
74.84,167.29,224.59
73.35,162.96,218.96
73.87,159.86,220.82
75.88,159.94,227.01
75.1,158.27,227.06
72.49,154.33,224.4
73.47,154.41,227.03
74,155.95,230.09
75.3,158.56,236.21
75.18,157.32,235.87
75.75,159.73,235.32
75.27,162.75,234.37
74.92,163.75,235.28
74.57,163.5,236.41
75.48,166.03,240.51
74.69,165.98,239.96
74.98,165.12,243.18
75,166.81,243.58
75.39,165.56,246.58
76.15,166.41,249.05
76.17,164.35,243.29
76.12,163.97,243.26
75.75,162.48,248.76
76.97,164.82,255.82
76.74,166.61,257.5
75.55,168.14,257.13
75.79,169.7,257.24
75.91,169.28,259.43
76.64,167.4,260.14
76.85,168.82,262.2
77.05,156.14,261.96
77.16,158.58,264.47
76.76,156.83,262.64
78.26,162.66,265.76
77.94,163.67,267.1
79.29,161.98,266.29
78.52,161.74,263.19
78.3,158.33,262.01
79.12,157.87,261.78
80.26,159.15,266.37
80.95,157.09,264.29
81.08,158.78,267.84
80.77,157.08,267.25
80.35,156.55,264.16
80.1,152.61,259.45
80.93,152.33,261.74
81.53,152.29,265.58
82.21,154.62,270.71
81.62,151.57,266.92
82.93,156.17,268.48
83.42,155.9,270.77
84.81,156.12,271.46
83.71,155.21,275.15
84.45,153.5,279.86
83.95,157.98,280.41
83.43,158.03,279.74
84.51,156.48,280.02
85.19,158.12,279.44
85.26,159.97,284
85.3,160.57,284.27
85.45,159.27,289.91
85.42,158.35,289.8
84.9,159.12,291.52
85.31,160.16,293.65
